Rank,Produto,Preço,URL
113,"7ºNotebook Lenovo IdeaPad Slim 3i Intel Core i5 13420H 15,3"" 16GB SSD 512GB Windows 11 83NS0001BRMenor preço via Magazine LuizaR$ 3.169,13até 10x de R$ 368,50
            
          Frete Grátis 8% de volta na loja todaCompare entre 7 lojas","R$ 3.169,13",https://www.zoom.com.br/notebook/notebook-lenovo-ideapad-83ns0001br-intel-core-i5-13420h-15-16gb-ssd-512-gb-windows-11?_lc=88&searchterm=notebook
114,"7ºNotebook Lenovo IdeaPad Slim 3i Intel Core i5 13420H 15,3"" 16GB SSD 512GB Windows 11 83NS0001BRMenor preço via Magazine LuizaR$ 3.169,13até 10x de R$ 368,50
            
          Frete Grátis 8% de volta na loja todaCompare entre 7 lojas","R$ 3.169,13",https://www.zoom.com.br/notebook/notebook-lenovo-ideapad-83ns0001br-intel-core-i5-13420h-15-16gb-ssd-512-gb-windows-11?_lc=88&searchterm=notebook
115,Sem título,Sem preço,
116,Sem título,Sem preço,
117,"Notebook Lenovo IdeaPad Slim 3i Intel Core i5 13420H 15,3"" 16GB SSD 512GB Windows 11 83NS0001BR","R$ 3.169,13",
118,Sem título,Sem preço,
119,"Notebook Lenovo IdeaPad Slim 3i Intel Core i5 13420H 15,3"" 16GB SSD 512GB Windows 11 83NS0001BR","R$ 3.169,13",
120,"Notebook Lenovo IdeaPad Slim 3i Intel Core i5 13420H 15,3"" 16GB SSD 512GB Windows 11 83NS0001BR",Sem preço,
121,Sem título,Sem preço,
122,"8ºNotebook Samsung Galaxy Book4 Intel Core i5-1335U 15,6"" 16GB SSD 512GB Windows 11 NP750XGJ-KG2BRMenor preço via Magazine LuizaR$ 3.989,05até 10x de R$ 419,90
            
          Frete Grátis 8% de volta na loja todaCompare entre 3 lojas","R$ 3.989,05",https://www.zoom.com.br/notebook/notebook-samsung-book-np750xgj-kg2br-intel-core-i5-1335u-15-6-16gb-ssd-512-gb-windows-11?_lc=88&searchterm=notebook
